Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
649329b43c453ac94da475a2,6478e9af7d038af16d294843,APPROVED,2023-06-21T16:47:55.515000Z,2023-06-21T17:01:39.689000Z,2023-06-22T21:18:59.601000,2023-06-21T17:01:40.289556Z,825,C92BA3A3,182,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
649329b8e6a5c0687fc6d9d6,61646529370e6a2eb6ed74cc,APPROVED,2023-06-21T16:51:10.606000Z,2023-06-21T17:01:32.284000Z,2023-06-22T21:16:07.135000,2023-06-21T17:01:32.887917Z,622,C92BA3A3,606,33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
649329bb7f277350581d0c71,64542858c348ef24892679d6,APPROVED,2023-06-21T16:48:07.704000Z,2023-06-21T16:57:53.696000Z,2023-06-22T21:16:07.325000,2023-06-21T16:57:54.682911Z,586,C92BA3A3,299,26,Male,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
649329bd2e2c8e3834b59808,645d33a2abc8fe8abb1aa87a,APPROVED,2023-06-21T16:48:04.368000Z,2023-06-21T16:55:47.265000Z,2023-06-22T21:18:59.778000,2023-06-21T16:55:48.089324Z,463,C92BA3A3,292,60,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
649329bf8bca47c700e27fa6,63312f0451ba56e5a520eb62,APPROVED,2023-06-21T16:48:05.511000Z,2023-06-21T16:56:03.424000Z,2023-06-22T21:16:07.773000,2023-06-21T16:56:04.272498Z,478,C92BA3A3,1843,41,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329c064fab1489316908b,611729ddf39841cce093b0ff,APPROVED,2023-06-21T16:48:56.758000Z,2023-06-21T16:55:17.965000Z,2023-06-22T21:18:59.939000,2023-06-21T16:55:19.336135Z,382,C92BA3A3,1460,44,Female,White,United States,United States,United States,English,No,Full-Time
649329c09e2bdb6605edd3e2,6404132ea192589b51692c4a,APPROVED,2023-06-21T16:48:00.669000Z,2023-06-21T16:57:17.054000Z,2023-06-22T21:19:00.127000,2023-06-21T16:57:17.541937Z,557,C92BA3A3,182,23,Female,Asian,United States,United States,United States,Chinese,No,DATA_EXPIRED
649329c1fac240da98da8d30,5ce9c6df6b2b3d001a94b24f,APPROVED,2023-06-21T16:48:10.371000Z,2023-06-21T16:54:19.580000Z,2023-06-22T21:16:07.910000,2023-06-21T16:54:20.288024Z,370,C92BA3A3,5553,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329c3d1fb1f44cecf7da8,64309be1d7d085ed8ee4c129,APPROVED,2023-06-21T16:48:07.169000Z,2023-06-21T16:54:21.834000Z,2023-06-22T21:16:08.047000,2023-06-21T16:54:22.400679Z,375,C92BA3A3,585,28,Male,White,United States,United States,United States,English,No,Full-Time
649329c69b6e7b293ec776d8,647621dbfc364c3b8c75f627,APPROVED,2023-06-21T16:48:09.889000Z,2023-06-21T16:52:30.150000Z,2023-06-22T21:19:00.317000,2023-06-21T16:52:30.707969Z,261,C92BA3A3,90,27,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
